分拣中心,日期,货量
SC21,2023/8/4,2524
SC49,2023/8/4,6371
SC37,2023/8/4,466
SC29,2023/8/4,5293
SC5,2023/8/4,17962
SC23,2023/8/4,1701
SC16,2023/8/4,2423
SC36,2023/8/4,699
SC57,2023/8/4,12215
SC2,2023/8/4,6656
SC12,2023/8/4,3592
SC18,2023/8/4,4664
SC19,2023/8/4,8210
SC58,2023/8/4,806
SC27,2023/8/4,4080
SC1,2023/8/4,35773
SC46,2023/8/4,1738
SC34,2023/8/4,7961
SC14,2023/8/4,1789
SC51,2023/8/4,9645
SC26,2023/8/4,4139
SC32,2023/8/4,2909
SC24,2023/8/4,5827
SC4,2023/8/4,17762
SC28,2023/8/4,357
SC41,2023/8/4,1723
SC17,2023/8/4,16876
SC40,2023/8/4,2732
SC7,2023/8/4,33522
SC60,2023/8/4,44637
SC10,2023/8/4,20166
SC35,2023/8/4,20139
SC3,2023/8/4,9222
SC30,2023/8/4,4966
SC55,2023/8/4,4153
SC6,2023/8/4,21898
SC22,2023/8/4,5715
SC56,2023/8/4,1417
SC25,2023/8/4,40148
SC48,2023/8/5,754
SC61,2023/8/5,698
SC63,2023/8/5,1719
SC54,2023/8/5,8042
SC68,2023/8/5,1048
SC44,2023/8/5,14669
SC15,2023/8/5,3376
SC66,2023/8/5,737
SC9,2023/8/5,23455
SC53,2023/8/5,28474
SC38,2023/8/5,3325
SC20,2023/8/5,33
SC39,2023/8/5,2370
SC47,2023/8/5,40548
SC8,2023/8/5,34863
SC43,2023/8/5,2735
SC52,2023/8/5,3781
SC31,2023/8/5,8125
SC21,2023/8/5,2019
SC49,2023/8/5,6183
SC37,2023/8/5,1450
SC29,2023/8/5,5126
SC5,2023/8/5,17867
SC23,2023/8/5,1716
SC16,2023/8/5,2198
SC36,2023/8/5,670
SC57,2023/8/5,11956
SC2,2023/8/5,6075
SC12,2023/8/5,3379
SC18,2023/8/5,5313
SC19,2023/8/5,6868
SC58,2023/8/5,737
SC27,2023/8/5,4012
SC1,2023/8/5,31876
SC46,2023/8/5,2120
SC34,2023/8/5,8015
SC14,2023/8/5,1576
SC51,2023/8/5,9401
SC26,2023/8/5,3951
SC32,2023/8/5,2856
SC24,2023/8/5,5743
SC4,2023/8/5,17443
SC28,2023/8/5,423
SC41,2023/8/5,1654
SC17,2023/8/5,16515
SC40,2023/8/5,2616
SC7,2023/8/5,34450
SC60,2023/8/5,45523
SC10,2023/8/5,21161
SC35,2023/8/5,21213
SC3,2023/8/5,9800
SC30,2023/8/5,3720
SC55,2023/8/5,4144
SC6,2023/8/5,21795
SC22,2023/8/5,5715
SC56,2023/8/5,1431
SC25,2023/8/5,36873
SC48,2023/8/6,664
SC61,2023/8/6,689
SC63,2023/8/6,1790
SC54,2023/8/6,8037
SC68,2023/8/6,1076
SC44,2023/8/6,13542
SC15,2023/8/6,3114
SC66,2023/8/6,733
SC9,2023/8/6,21237
SC53,2023/8/6,25697
SC38,2023/8/6,3274
SC20,2023/8/6,46
SC39,2023/8/6,2309
SC47,2023/8/6,38806
SC8,2023/8/6,33965
SC43,2023/8/6,2754
SC52,2023/8/6,3074
SC31,2023/8/6,8212
SC21,2023/8/6,1556
SC49,2023/8/6,5699
SC37,2023/8/6,601
SC29,2023/8/6,4899
SC5,2023/8/6,16182
SC23,2023/8/6,1640
SC16,2023/8/6,1710
SC36,2023/8/6,627
SC57,2023/8/6,11663
SC2,2023/8/6,5685
SC12,2023/8/6,3361
SC18,2023/8/6,4715
SC19,2023/8/6,4986
SC58,2023/8/6,590
SC27,2023/8/6,3640
SC1,2023/8/6,31319
SC46,2023/8/6,1760
SC34,2023/8/6,7284
SC14,2023/8/6,1333
SC51,2023/8/6,8871
SC26,2023/8/6,3808
SC32,2023/8/6,2524
SC24,2023/8/6,5846
SC4,2023/8/6,16725
SC28,2023/8/6,396
SC41,2023/8/6,1599
SC17,2023/8/6,15834
SC40,2023/8/6,2549
SC7,2023/8/6,32235
SC60,2023/8/6,44487
SC10,2023/8/6,19716
SC35,2023/8/6,21172
SC3,2023/8/6,9584
SC30,2023/8/6,3118
SC55,2023/8/6,3864
SC6,2023/8/6,21596
SC22,2023/8/6,5763
SC56,2023/8/6,1364
SC25,2023/8/6,34342
SC48,2023/8/7,683
SC61,2023/8/7,874
SC63,2023/8/7,1812
SC54,2023/8/7,8305
SC68,2023/8/7,1067
SC44,2023/8/7,13606
SC15,2023/8/7,3306
SC66,2023/8/7,775
SC9,2023/8/7,20769
SC53,2023/8/7,26963
SC38,2023/8/7,3429
SC20,2023/8/7,122
SC39,2023/8/7,2410
SC47,2023/8/7,38749
SC8,2023/8/7,33355
SC43,2023/8/7,2738
SC52,2023/8/7,2696
SC31,2023/8/7,8124
SC21,2023/8/7,1405
SC49,2023/8/7,5781
SC37,2023/8/7,528
SC29,2023/8/7,5313
SC5,2023/8/7,16484
SC23,2023/8/7,1625
SC16,2023/8/7,1615
SC36,2023/8/7,565
SC57,2023/8/7,10505
SC2,2023/8/7,6528
SC12,2023/8/7,3475
SC18,2023/8/7,4696
SC19,2023/8/7,7465
SC58,2023/8/7,698
SC27,2023/8/7,3966
SC1,2023/8/7,29584
SC46,2023/8/7,1778
SC34,2023/8/7,7474
SC14,2023/8/7,1784
SC51,2023/8/7,8561
SC26,2023/8/7,3993
SC32,2023/8/7,2793
SC24,2023/8/7,5709
SC4,2023/8/7,16266
SC28,2023/8/7,379
SC41,2023/8/7,1725
SC17,2023/8/7,14172
SC40,2023/8/7,2711
SC7,2023/8/7,32229
SC60,2023/8/7,44102
SC10,2023/8/7,19273
SC35,2023/8/7,20422
SC3,2023/8/7,8946
SC30,2023/8/7,2751
SC55,2023/8/7,3934
SC6,2023/8/7,20656
SC22,2023/8/7,5582
SC56,2023/8/7,1379
SC25,2023/8/7,32858
SC48,2023/8/8,649
SC61,2023/8/8,766
SC63,2023/8/8,1948
SC54,2023/8/8,8819
SC68,2023/8/8,1121
SC44,2023/8/8,13701
SC15,2023/8/8,3203
SC66,2023/8/8,759
SC9,2023/8/8,20373
SC53,2023/8/8,26946
SC38,2023/8/8,3585
SC20,2023/8/8,95
SC39,2023/8/8,2573
SC47,2023/8/8,39556
SC8,2023/8/8,34315
SC43,2023/8/8,2481
SC52,2023/8/8,2781
SC31,2023/8/8,8266
SC21,2023/8/8,1461
SC49,2023/8/8,6142
SC37,2023/8/8,529
SC29,2023/8/8,5456
SC5,2023/8/8,17446
SC23,2023/8/8,1661
SC16,2023/8/8,1607
SC36,2023/8/8,595
SC57,2023/8/8,11164
SC2,2023/8/8,7591
SC12,2023/8/8,3784
SC18,2023/8/8,5657
SC19,2023/8/8,8690
SC58,2023/8/8,796
SC27,2023/8/8,3893
SC1,2023/8/8,33034
SC46,2023/8/8,2013
SC34,2023/8/8,7773
SC14,2023/8/8,1547
SC51,2023/8/8,8950
SC26,2023/8/8,4076
SC32,2023/8/8,2962
SC24,2023/8/8,5984
SC4,2023/8/8,16650
SC28,2023/8/8,403
SC41,2023/8/8,1712
SC17,2023/8/8,15376
SC40,2023/8/8,2841
SC7,2023/8/8,32181
SC60,2023/8/8,46210
SC10,2023/8/8,19756
SC35,2023/8/8,21789
SC3,2023/8/8,9461
SC30,2023/8/8,3084
SC55,2023/8/8,3710
SC6,2023/8/8,21744
SC22,2023/8/8,5616
SC56,2023/8/8,1475
SC25,2023/8/8,33517
SC48,2023/8/9,737
SC61,2023/8/9,1014
SC63,2023/8/9,2164
SC54,2023/8/9,8730
SC68,2023/8/9,1189
SC44,2023/8/9,14828
SC15,2023/8/9,3536
SC66,2023/8/9,1145
SC9,2023/8/9,21955
SC53,2023/8/9,27459
SC38,2023/8/9,3726
SC20,2023/8/9,86
SC39,2023/8/9,2611
SC47,2023/8/9,42408
SC8,2023/8/9,37743
SC43,2023/8/9,4961
SC52,2023/8/9,2582
SC31,2023/8/9,8491
SC21,2023/8/9,1396
SC49,2023/8/9,6900
SC37,2023/8/9,510
SC29,2023/8/9,5623
SC5,2023/8/9,17748
SC23,2023/8/9,1828
SC16,2023/8/9,1461
SC36,2023/8/9,660
SC57,2023/8/9,12270
SC2,2023/8/9,7963
SC12,2023/8/9,4204
SC18,2023/8/9,5439
SC19,2023/8/9,8205
SC58,2023/8/9,726
SC27,2023/8/9,4086
SC1,2023/8/9,34242
SC46,2023/8/9,2127
SC34,2023/8/9,7998
SC14,2023/8/9,1644
SC51,2023/8/9,9478
SC26,2023/8/9,4294
SC32,2023/8/9,3138
SC24,2023/8/9,6605
SC4,2023/8/9,17260
SC28,2023/8/9,449
SC41,2023/8/9,1919
SC17,2023/8/9,15939
SC40,2023/8/9,2805
SC7,2023/8/9,34860
SC60,2023/8/9,48135
SC10,2023/8/9,21234
SC35,2023/8/9,22669
SC3,2023/8/9,9654
SC30,2023/8/9,2754
SC55,2023/8/9,3931
SC6,2023/8/9,23352
SC22,2023/8/9,6369
SC56,2023/8/9,1610
SC25,2023/8/9,35112
SC48,2023/8/10,698
SC61,2023/8/10,817
SC63,2023/8/10,1844
SC54,2023/8/10,8481
SC68,2023/8/10,1132
SC44,2023/8/10,14613
SC15,2023/8/10,3884
SC66,2023/8/10,826
SC9,2023/8/10,22401
SC53,2023/8/10,28196
SC38,2023/8/10,3593
SC20,2023/8/10,158
SC39,2023/8/10,2507
SC47,2023/8/10,40837
SC8,2023/8/10,36412
SC43,2023/8/10,4898
SC52,2023/8/10,2754
SC31,2023/8/10,8523
SC21,2023/8/10,1523
SC49,2023/8/10,6311
SC37,2023/8/10,529
SC29,2023/8/10,5381
SC5,2023/8/10,17759
SC23,2023/8/10,1624
SC16,2023/8/10,1707
SC36,2023/8/10,841
SC57,2023/8/10,12336
SC2,2023/8/10,7372
SC12,2023/8/10,3699
SC18,2023/8/10,5359
SC19,2023/8/10,8548
SC58,2023/8/10,692
SC27,2023/8/10,3974
SC1,2023/8/10,34123
SC46,2023/8/10,1908
SC34,2023/8/10,7688
SC14,2023/8/10,1728
SC51,2023/8/10,9262
SC26,2023/8/10,4091
SC32,2023/8/10,2778
SC24,2023/8/10,6217
SC4,2023/8/10,17040
SC28,2023/8/10,473
SC41,2023/8/10,1759
SC17,2023/8/10,15906
SC40,2023/8/10,2750
SC7,2023/8/10,34847
SC60,2023/8/10,49417
SC10,2023/8/10,20821
SC35,2023/8/10,23029
SC3,2023/8/10,10513
SC30,2023/8/10,3233
SC55,2023/8/10,3866
SC6,2023/8/10,23231
SC22,2023/8/10,6035
SC56,2023/8/10,1498
SC25,2023/8/10,37007
SC48,2023/8/11,774
SC61,2023/8/11,835
SC63,2023/8/11,1637
SC54,2023/8/11,8235
SC68,2023/8/11,1030
SC44,2023/8/11,14227
SC15,2023/8/11,4137
SC66,2023/8/11,781
SC9,2023/8/11,22876
SC53,2023/8/11,27718
SC38,2023/8/11,3515
SC20,2023/8/11,819
SC39,2023/8/11,2502
SC47,2023/8/11,40776
SC8,2023/8/11,35610
SC43,2023/8/11,4323
SC52,2023/8/11,3458
SC31,2023/8/11,8468
SC21,2023/8/11,1926
SC49,2023/8/11,6619
SC37,2023/8/11,475
SC29,2023/8/11,5157
SC5,2023/8/11,17849
SC23,2023/8/11,1529
SC16,2023/8/11,2070
SC36,2023/8/11,652
SC57,2023/8/11,12139
SC2,2023/8/11,6892
SC12,2023/8/11,3690
SC18,2023/8/11,5249
SC19,2023/8/11,8095
SC58,2023/8/11,686
SC27,2023/8/11,3839
SC1,2023/8/11,33589
SC46,2023/8/11,2068
SC34,2023/8/11,7855
SC14,2023/8/11,1572
SC51,2023/8/11,9110
SC26,2023/8/11,3974
SC32,2023/8/11,3429
SC24,2023/8/11,5889
SC4,2023/8/11,16594
SC28,2023/8/11,492
SC41,2023/8/11,1764
SC17,2023/8/11,15704
SC40,2023/8/11,2860
SC7,2023/8/11,32799
SC60,2023/8/11,51268
SC10,2023/8/11,20911
SC35,2023/8/11,23145
SC3,2023/8/11,10067
SC30,2023/8/11,4254
SC55,2023/8/11,3839
SC6,2023/8/11,23027
SC22,2023/8/11,5565
SC56,2023/8/11,1906
SC25,2023/8/11,36021
SC48,2023/8/12,696
SC61,2023/8/12,775
SC63,2023/8/12,1435
SC54,2023/8/12,8214
SC68,2023/8/12,982
SC44,2023/8/12,13459
SC15,2023/8/12,3679
SC66,2023/8/12,796
SC9,2023/8/12,22860
SC53,2023/8/12,26843
SC38,2023/8/12,3307
SC20,2023/8/12,431
SC39,2023/8/12,2332
SC47,2023/8/12,41237
SC8,2023/8/12,35964
SC43,2023/8/12,4124
SC52,2023/8/12,3417
SC31,2023/8/12,8610
SC21,2023/8/12,1812
SC49,2023/8/12,6079
SC37,2023/8/12,577
SC29,2023/8/12,5066
SC5,2023/8/12,18119
SC23,2023/8/12,1583
SC16,2023/8/12,1900
SC36,2023/8/12,544
SC57,2023/8/12,12076
SC2,2023/8/12,6190
SC12,2023/8/12,3341
SC18,2023/8/12,5271
SC19,2023/8/12,6846
SC58,2023/8/12,523
SC27,2023/8/12,3905
SC1,2023/8/12,33793
SC46,2023/8/12,1908
SC34,2023/8/12,7339
SC14,2023/8/12,1408
SC51,2023/8/12,9202
SC26,2023/8/12,3826
SC32,2023/8/12,2792
SC24,2023/8/12,5673
SC4,2023/8/12,17248
SC28,2023/8/12,581
SC41,2023/8/12,1827
SC17,2023/8/12,15911
SC40,2023/8/12,2779
SC7,2023/8/12,34789
SC60,2023/8/12,56240
SC10,2023/8/12,20578
SC35,2023/8/12,24605
SC3,2023/8/12,9839
SC30,2023/8/12,3584
SC55,2023/8/12,3847
SC6,2023/8/12,22109
SC22,2023/8/12,5736
SC56,2023/8/12,1401
SC25,2023/8/12,35196
SC48,2023/8/13,599
SC61,2023/8/13,662
SC63,2023/8/13,1575
SC54,2023/8/13,8186
SC68,2023/8/13,1012
SC44,2023/8/13,12568
SC15,2023/8/13,3566
SC66,2023/8/13,762
SC9,2023/8/13,21494
SC53,2023/8/13,26473
SC38,2023/8/13,3177
SC20,2023/8/13,93
SC39,2023/8/13,2217
SC47,2023/8/13,37994
SC8,2023/8/13,31452
SC43,2023/8/13,3253
SC52,2023/8/13,2477
SC31,2023/8/13,7764
SC21,2023/8/13,1356
SC49,2023/8/13,5521
SC37,2023/8/13,551
SC29,2023/8/13,4958
SC5,2023/8/13,16540
SC23,2023/8/13,1455
SC16,2023/8/13,1466
SC36,2023/8/13,569
SC57,2023/8/13,11860
SC2,2023/8/13,5741
SC12,2023/8/13,3175
SC18,2023/8/13,4940
SC19,2023/8/13,4864
SC58,2023/8/13,609
SC27,2023/8/13,3533
SC1,2023/8/13,31308
SC46,2023/8/13,1984
SC34,2023/8/13,6752
SC14,2023/8/13,1538
SC51,2023/8/13,8487
SC26,2023/8/13,3738
SC32,2023/8/13,2558
SC24,2023/8/13,5488
SC4,2023/8/13,16368
SC28,2023/8/13,586
SC41,2023/8/13,1823
SC17,2023/8/13,13650
SC40,2023/8/13,2598
SC7,2023/8/13,32211
SC60,2023/8/13,50319
SC10,2023/8/13,19260
SC35,2023/8/13,23354
SC3,2023/8/13,9679
SC30,2023/8/13,2876
SC55,2023/8/13,3470
SC6,2023/8/13,21015
SC22,2023/8/13,5560
SC56,2023/8/13,1330
SC25,2023/8/13,30555
SC48,2023/8/14,659
SC61,2023/8/14,724
SC63,2023/8/14,1811
SC54,2023/8/14,8890
SC68,2023/8/14,1121
SC44,2023/8/14,14203
SC15,2023/8/14,3374
SC66,2023/8/14,842
SC9,2023/8/14,19898
SC53,2023/8/14,26693
SC38,2023/8/14,3617
SC20,2023/8/14,207
SC39,2023/8/14,2485
SC47,2023/8/14,38384
SC8,2023/8/14,33921
SC43,2023/8/14,3091
SC52,2023/8/14,2582
SC31,2023/8/14,8358
SC21,2023/8/14,1352
SC49,2023/8/14,5590
SC37,2023/8/14,747
SC29,2023/8/14,5575
SC5,2023/8/14,16767
SC23,2023/8/14,1487
SC16,2023/8/14,1504
SC36,2023/8/14,574
SC57,2023/8/14,11122
SC2,2023/8/14,7273
SC12,2023/8/14,3757
SC18,2023/8/14,5597
SC19,2023/8/14,8362
SC58,2023/8/14,734
SC27,2023/8/14,4015
SC1,2023/8/14,31785
SC46,2023/8/14,1910
SC34,2023/8/14,7513
SC14,2023/8/14,1573
SC51,2023/8/14,8476
SC26,2023/8/14,4293
SC32,2023/8/14,2599
SC24,2023/8/14,6086
SC4,2023/8/14,16946
SC28,2023/8/14,625
SC41,2023/8/14,2003
SC17,2023/8/14,16892
SC40,2023/8/14,2738
SC7,2023/8/14,30104
SC60,2023/8/14,44745
SC10,2023/8/14,19200
SC35,2023/8/14,22439
SC3,2023/8/14,9435
SC30,2023/8/14,2674
SC55,2023/8/14,3899
SC6,2023/8/14,21727
SC22,2023/8/14,5850
SC56,2023/8/14,1356
SC25,2023/8/14,34205
SC48,2023/8/15,704
SC61,2023/8/15,740
SC63,2023/8/15,2025
SC54,2023/8/15,9286
SC68,2023/8/15,1146
SC44,2023/8/15,14406
SC15,2023/8/15,3962
SC66,2023/8/15,881
SC9,2023/8/15,22928
SC53,2023/8/15,28935
SC38,2023/8/15,3687
SC20,2023/8/15,129
SC39,2023/8/15,2475
SC47,2023/8/15,42327
SC8,2023/8/15,37363
SC43,2023/8/15,2922
SC52,2023/8/15,2930
SC31,2023/8/15,9510
SC21,2023/8/15,1522
SC49,2023/8/15,5771
SC37,2023/8/15,1683
SC29,2023/8/15,5576
SC5,2023/8/15,17445
SC23,2023/8/15,1458
SC16,2023/8/15,1697
SC36,2023/8/15,762
SC57,2023/8/15,11569
SC2,2023/8/15,8232
SC12,2023/8/15,3201
SC18,2023/8/15,5853
SC19,2023/8/15,9453
SC58,2023/8/15,898
SC27,2023/8/15,3981
SC1,2023/8/15,34678
SC46,2023/8/15,1798
SC34,2023/8/15,8637
SC14,2023/8/15,1571
SC51,2023/8/15,9353
SC26,2023/8/15,4746
SC32,2023/8/15,2906
SC24,2023/8/15,6230
SC4,2023/8/15,17329
SC28,2023/8/15,666
SC41,2023/8/15,1912
SC17,2023/8/15,16351
SC40,2023/8/15,2877
SC7,2023/8/15,34267
SC60,2023/8/15,48666
SC10,2023/8/15,20453
SC35,2023/8/15,24531
SC3,2023/8/15,9197
SC30,2023/8/15,3249
SC55,2023/8/15,4041
SC6,2023/8/15,23094
SC22,2023/8/15,5847
SC56,2023/8/15,1460
SC25,2023/8/15,37679
SC48,2023/8/16,690
SC61,2023/8/16,891
SC63,2023/8/16,2430
SC54,2023/8/16,8915
SC68,2023/8/16,1111
SC44,2023/8/16,15688
SC15,2023/8/16,3954
SC66,2023/8/16,970
SC9,2023/8/16,22871
SC53,2023/8/16,28747
SC38,2023/8/16,3620
SC20,2023/8/16,75
SC39,2023/8/16,2448
SC47,2023/8/16,43679
SC8,2023/8/16,37239
SC43,2023/8/16,2962
SC52,2023/8/16,2765
SC31,2023/8/16,9390
SC21,2023/8/16,1478
SC49,2023/8/16,6698
SC37,2023/8/16,655
SC29,2023/8/16,5591
SC5,2023/8/16,19614
SC23,2023/8/16,1612
SC16,2023/8/16,1695
SC36,2023/8/16,669
SC57,2023/8/16,12554
SC2,2023/8/16,7793
SC12,2023/8/16,4768
SC18,2023/8/16,6636
SC19,2023/8/16,8377
SC58,2023/8/16,794
SC27,2023/8/16,3989
SC1,2023/8/16,35694
SC46,2023/8/16,1894
SC34,2023/8/16,7825
SC14,2023/8/16,1659
SC51,2023/8/16,9778
SC26,2023/8/16,4544
SC32,2023/8/16,3507
SC24,2023/8/16,6372
SC4,2023/8/16,18687
SC28,2023/8/16,697
SC41,2023/8/16,1912
SC17,2023/8/16,17562
SC40,2023/8/16,2895
SC7,2023/8/16,34370
SC60,2023/8/16,49953
SC10,2023/8/16,22603
SC35,2023/8/16,25887
SC3,2023/8/16,10028
SC30,2023/8/16,2946
SC55,2023/8/16,4374
SC6,2023/8/16,23886
SC22,2023/8/16,6054
SC56,2023/8/16,1474
SC25,2023/8/16,36937
SC48,2023/8/17,658
SC61,2023/8/17,979
SC63,2023/8/17,2075
SC54,2023/8/17,9116
SC68,2023/8/17,1405
SC44,2023/8/17,15465
SC15,2023/8/17,4535
SC66,2023/8/17,923
SC9,2023/8/17,24454
SC53,2023/8/17,29438
SC38,2023/8/17,3680
SC20,2023/8/17,94
SC39,2023/8/17,2418
SC47,2023/8/17,42133
SC8,2023/8/17,38442
SC43,2023/8/17,2843
SC52,2023/8/17,2997
SC31,2023/8/17,9217
SC21,2023/8/17,1682
SC49,2023/8/17,6248
SC37,2023/8/17,578
SC29,2023/8/17,5737
SC5,2023/8/17,18330
SC23,2023/8/17,1689
SC16,2023/8/17,1782
SC36,2023/8/17,590
SC57,2023/8/17,12983
SC2,2023/8/17,8422
SC12,2023/8/17,3886
SC18,2023/8/17,6417
SC19,2023/8/17,9082
SC58,2023/8/17,745
SC27,2023/8/17,3941
SC1,2023/8/17,36006
SC46,2023/8/17,1803
SC34,2023/8/17,8213
SC14,2023/8/17,1594
SC51,2023/8/17,9672
SC26,2023/8/17,4132
SC32,2023/8/17,2782
SC24,2023/8/17,6593
SC4,2023/8/17,18147
SC28,2023/8/17,700
SC41,2023/8/17,1942
SC17,2023/8/17,18106
SC40,2023/8/17,2830
SC7,2023/8/17,35057
SC60,2023/8/17,53721
SC10,2023/8/17,21988
SC35,2023/8/17,26193
SC3,2023/8/17,10096
SC30,2023/8/17,3625
SC55,2023/8/17,3785
SC6,2023/8/17,24085
SC22,2023/8/17,5992
SC56,2023/8/17,1380
SC25,2023/8/17,36917
SC48,2023/8/18,710
SC61,2023/8/18,896
SC63,2023/8/18,2118
SC54,2023/8/18,9205
SC68,2023/8/18,1083
SC44,2023/8/18,15641
SC15,2023/8/18,4295
SC66,2023/8/18,938
SC9,2023/8/18,24565
SC53,2023/8/18,29452
SC38,2023/8/18,3657
SC20,2023/8/18,80
SC39,2023/8/18,2468
SC47,2023/8/18,42131
SC8,2023/8/18,38259
SC43,2023/8/18,4243
SC52,2023/8/18,3730
SC31,2023/8/18,8967
SC21,2023/8/18,2135
SC49,2023/8/18,6336
SC37,2023/8/18,596
SC29,2023/8/18,5792
SC5,2023/8/18,19275
SC23,2023/8/18,1738
SC16,2023/8/18,2259
SC36,2023/8/18,658
SC57,2023/8/18,13166
SC2,2023/8/18,8051
SC12,2023/8/18,3909
SC18,2023/8/18,6657
SC19,2023/8/18,8971
SC58,2023/8/18,696
SC27,2023/8/18,3741
SC1,2023/8/18,36039
SC46,2023/8/18,2242
SC34,2023/8/18,8393
SC14,2023/8/18,1462
SC51,2023/8/18,9809
SC26,2023/8/18,4119
